uplift_vs_modeled_ablations,no_consolidate_bleach_success_rate,trial,failure_count_oomphlap_retry_failed,pipeline_failure_rate,no_correction_write_success_rate,corrupt_size,failure_count_partial_hologram_correction_failure,no_verify_success,no_consolidate_bleach_success,failure_reason_no_correction_write,failure_count_verify_missed_oomphlap,uplift_vs_no_consolidate_bleach,modeled_ablation_count,failure_count_multi_stage,failure_count_critical_node_backlog,failure_count_verify_missed_hologram,scenario_seed,failure_count_repair_backlog,all_ablations_modeled,ssim_no_correction_write,no_verify_success_rate,n_trials,claim,graph_critical_ratio_no_consolidate_bleach,declared_ablation_count,ssim_no_consolidate_bleach,graph_critical_ratio_pipeline,uplift_vs_no_correction_write,failure_reason_full,ssim_pipeline,no_correction_write_success,pipeline_success,uplift_vs_no_verify,min_success_rate,failure_reason_no_verify,failure_reason_no_consolidate_bleach,full_success_rate,ssim_no_verify,failure_detail_full,hologram_mode
,,10,,,,26,,1,0,none,,1.0,,,,,52,,,0.999993,,,c4_sim4_pipeline,0.093333,,0.999993,0.0,0.0,none,0.999993,1,1,0.0,,none,graph_maintenance_disabled,,0.999993,none,phase_noise
,,11,,,,41,,0,0,correction_write_disabled_oomphlap,,1.0,,,,,53,,,0.999486,,,c4_sim4_pipeline,0.106667,,0.999486,0.0,1.0,none,0.999486,0,1,1.0,,verify_disabled_oomphlap,graph_maintenance_disabled,,0.999486,none,phase_noise
,,12,,,,28,,0,0,correction_write_disabled_hologram,,0.0,,,,,54,,,0.153067,,,c4_sim4_pipeline,0.126667,,0.063179,0.0,0.0,partial_hologram_correction_failure,0.063179,0,0,0.0,,verify_disabled_hologram,multi_stage_failure,,0.153067,partial_hologram_correction_failure,block_dropout
,,13,,,,42,,1,0,none,,1.0,,,,,55,,,0.999957,,,c4_sim4_pipeline,0.133333,,0.999957,0.0,0.0,none,0.999957,1,1,0.0,,none,graph_maintenance_disabled,,0.999957,none,phase_noise
,,14,,,,31,,0,0,correction_write_disabled_oomphlap,,0.0,,,,,56,,,0.985436,,,c4_sim4_pipeline,0.146667,,0.985436,0.0,0.0,oomphlap_retry_failed,0.985436,0,0,0.0,,verify_disabled_oomphlap,multi_stage_failure,,0.985436,oomphlap_retry_failed,distributed_dropout
,,15,,,,45,,0,0,multi_stage_failure,,0.0,,,,,57,,,0.266069,,,c4_sim4_pipeline,0.166667,,0.035462,0.0,0.0,partial_hologram_correction_failure,0.035462,0,0,0.0,,multi_stage_failure,multi_stage_failure,,0.266069,partial_hologram_correction_failure,block_dropout
,,16,,,,37,,1,0,none,,1.0,,,,,58,,,0.995769,,,c4_sim4_pipeline,0.106667,,0.995769,0.0,0.0,none,0.995769,1,1,0.0,,none,graph_maintenance_disabled,,0.995769,none,distributed_dropout
,,17,,,,43,,0,0,correction_write_disabled_oomphlap,,0.0,,,,,59,,,0.999948,,,c4_sim4_pipeline,0.18,,0.999948,0.0,0.0,oomphlap_retry_failed,0.999948,0,0,0.0,,verify_disabled_oomphlap,multi_stage_failure,,0.999948,oomphlap_retry_failed,phase_noise
,,18,,,,31,,1,0,none,,1.0,,,,,60,,,0.999999,,,c4_sim4_pipeline,0.193333,,0.999999,0.0,0.0,none,0.999999,1,1,0.0,,none,graph_maintenance_disabled,,0.999999,none,block_dropout
,,19,,,,43,,0,0,correction_write_disabled_oomphlap,,0.0,,,,,61,,,0.999978,,,c4_sim4_pipeline,0.146667,,0.999978,0.0,0.0,oomphlap_retry_failed,0.999978,0,0,0.0,,verify_disabled_oomphlap,multi_stage_failure,,0.999978,oomphlap_retry_failed,distributed_dropout
0.1,0.0,,3,0.45,0.45,,5,,,,0,0.55,3,1,0,0,,0,1.0,,0.45,20,c4_sim4_pipeline,,3,,,0.1,,,,,0.1,0.55,,,0.55,,,
